南骂河公路/忙圈线(路口),临沧市双江拉祜族佤族布朗族傣族自治县忙圈线,23.504973,100.04287
南骂河公路/湾河水库路(路口),临沧市双江拉祜族佤族布朗族傣族自治县湾河水库路,23.505627,100.001637
宁南段/昔南线(路口),临沧市临翔区昔南线,23.51843,100.068872
G323/昆缅线(路口),临沧市临翔区G323,23.539707,100.130909
昆缅线/瑞临线(路口),临沧市临翔区昆缅线,23.539707,100.130909
景乐公路/瑞临线(路口),普洱市景谷傣族彝族自治县景乐公路,23.510248,100.610797
景谷傣族彝族自治县威远镇云海村民委员会,323国道北100米,23.514568,100.624289
响水路烧烤城,响水路,23.509627,100.697636
老开饭庄,323国道附近,23.515703,100.673525
普洱景谷县响水一号酒店,普洱市市普洱景谷傣族彝族自治县响水路2.5公里处泓淇汽车商贸有限公司斜对面,23.511983,100.696325
龙泉山庄,323国道附近,23.522106,100.684182
杏花村农庄,景谷傣族彝族自治县新工商局对面,23.511674,100.692439
滴水农家乐,323国道附近,23.512044,100.673331
半山人家,323国道东50米,23.51638,100.691091
永兴源农家乐,景谷县郊区,23.516753,100.690402
旺顺山庄,云南省普洱市景谷傣族彝族自治县威远镇G323(旧)北450米,23.51658,100.679514
三归壹,景谷县郊区,23.511187,100.695193
易捷便利店,323国道东50米,23.512393,100.6924
元宝汽车修理厂,普洱市景谷傣族彝族自治县,23.513961,100.697319
富明小汽车修理厂,普洱市景谷傣族彝族自治县,23.511401,100.696035
浅水湾商务会所,323国道东50米,23.509271,100.698308
龙泉山庄,323国道附近,23.522106,100.684182
滴水农家乐,323国道附近,23.512044,100.673331
半山人家,323国道东50米,23.51638,100.691091
旺顺山庄,云南省普洱市景谷傣族彝族自治县威远镇G323(旧)北450米,23.51658,100.679514
三归壹,景谷县郊区,23.511187,100.695193
杏花村农庄,景谷傣族彝族自治县新工商局对面,23.511674,100.692439
永兴源农家乐,景谷县郊区,23.516753,100.690402
顺成车市,普洱市景谷傣族彝族自治县,23.50905,100.698568
元宝汽车修理厂,普洱市景谷傣族彝族自治县,23.513961,100.697319
景谷中机汽车销售服务部,景谷傣族彝族自治县响水路地震局84号,23.509748,100.696324
富明小汽车修理厂,普洱市景谷傣族彝族自治县,23.511401,100.696035
中国石化(景谷景永加油站),323国道附近,23.512393,100.6924
中国石油(景怡苑西),云南省普洱市景谷傣族彝族自治县威远镇白龙社区益智路中国石油加油站,23.508925,100.699029
